"Rok","Zpěvák","Zpěvačka","Skupina"
1962,"Waldemar Matuška",,
1963,"Karel Gott",,
1964,"Karel Gott","Eva Pilarová",
1965,"Karel Gott","Helena Vondráčková",
1966,"Karel Gott,"Marta Kubišová",
1967,"Waldemar Matuška,"Eva Pilarová",
1968,"Karel Gott","Marta Kubišová",
1969,"Karel Gott","Marta Kubišová",
1970,"Karel Gott","Marta Kubišová",
1971,"Karel Gott","Eva Pilarová",
1972,"Karel Gott,"Naďa Urbánková",
1973,"Karel Gott","Naďa Urbánková",
1974,"Karel Gott","Naďa Urbánková",
1975,"Karel Gott","Naďa Urbánková",
1976,"Karel Gott","Naďa Urbánková",
1977,"Karel Gott","Hana Zagorová","Skupina Ladislava Štaidla"
1978,"Karel Gott","Hana Zagorová","Skupina Ladislava Štaidla"
1979,"Karel Gott","Hana Zagorová","Katapult"
1980,"Karel Gott","Hana Zagorová","Katapult"
1981,"Karel Gott","Hana Zagorová","Olympic"
1982,"Miro Žbirka","Hana Zagorová","Olympic"
1983,"Karel Gott","Hana Zagorová","Olympic"
1984,"Karel Gott","Hana Zagorová","Elán"
1985,"Peter Nagy","Hana Zagorová","Elán"
1986,"Dalibor Janda","Iveta Bartošová","Elán"
1987,"Dalibor Janda","Petra Janů","Elán"
1988,"Dalibor Janda","Petra Janů","Citron"
1989,"Karel Gott","Petra Janů","Team"
1990,"Karel Gott","Iveta Bartošová","Team"
1991,"Pavol Habera","Iveta Bartošová","Team"
1996,"Karel Gott","Lucie Bílá","Olympic"
1997,"Karel Gott","Lucie Bílá","Olympic"
1998,"Daniel Hůlka","Lucie Bílá","Olympic"
1999,"Karel Gott","Lucie Bílá","Lucie"
2000,"Karel Gott","Lucie Bílá","Lucie"
2001,"Karel Gott","Lucie Bílá","Lucie"
2002,"Karel Gott","Lucie Bílá","Lucie"
2003,"Karel Gott","Lucie Bílá","Kabát"
2004,"Karel Gott","Lucie Bílá","Kabát"
2005,"Karel Gott","Aneta Langerová","Chinaski"
2006,"Karel Gott","Aneta Langerová","Divokej Bill"
2007,"Karel Gott","Lucie Bílá","Kabát"
2008,"Karel Gott","Lucie Bílá","Kabát"
2009,"Karel Gott","Lucie Bílá","Kabát"
2010,"Karel Gott","Lucie Bílá","Kabát"
2011,"Karel Gott","Lucie Bílá","Kabát"
2012,"Tomáš Klus","Lucie Bílá","Kabát"
2013,"Karel Gott","Lucie Bílá","Kryštof"
2014,"Karel Gott","Lucie Bílá","Kabát"
2015,"Karel Gott","Lucie Bílá","Kabát"
2016,"Karel Gott","Lucie Bílá","Kabát"
2017,"Karel Gott","Lucie Bílá","Kabát"
2021,"Marek Ztracený","Ewa Farna","Mirai"
2022,"Marek Ztracený","Lucie Bílá","Kabát"